Francesca Humboldt:2.39
Miu Laws:1.47
Nadja Biber:2.62
Hamdah Inkel:2.85
Kingsley Sukhumchai:2.22
Amos Kitsemetry:1.97
Rick Karaca:3.52
Noelle Finance:2.88
R‚ka Newton:1.1
Carl Rowe:1.45
Fatma Yancy:1.99
MaryEllen Picket:4.03
Gloria Feldbusch:3.51
Walter Santos:4.13
Anthony Mccarthy:1.28
Stefano Prasertkul:1.93
Ariana Silbernagle:4.18
Claudia Brecht:1.34
Ilona Symers:3.72
Katrina Nishids:3.94
Maureen Ackermann:4.15
Arissa Nonexempt:2.93
Audra Trudeau:1.12
Uljana Raymond:1.72
Royce Camino:3.86
Roberto Pilson:1.82
Alissa Tamara Wati:1.42
Kathy Goldschmied:1
Dima Johnsen:1.95
Walburga Burnside:1.52
William Keaton:3.84
Roderick Rauenberger:2.47
Asiya Neumann:1.03
Warren Pfeiffer:3.67
Crosby Ritardi:1.5
Lisa May:4.09
Jay Danson:3.66
Shelly Hunziker:2.84
Travolta Pablo:4.24
Pierce O'Brian:2.67
Jennifer Anderson:1.18
Sevinj Mayer:2.57
Pietro Pender:3.75
Adyson Giesler:2.36
Helle Carlson:1.11
Marc Johnson:2.61
Marc Johnson:3.14
Marc Johnson:1.72
Marc Johnson:1.72
Marc Johnson:4.14
Marc Johnson:2.71
Marc Johnson:1.38
Keene Webb:2.33
Heidrun Nesenblatt:1.92
Ra£l Dolan:1.04
Valeria Mehrarbeit:3.88
Tamy Chang-Wuan:1.4
Gabriela Rosenthal:2.88
Chatwin Larios:2.08
Snezana Certo:1.89
Sal Maurer:1.96
Daniel Mellin:2.22
Jed Zielinski:3.76
Odval Larsen:3.52
L‚a Ter Linden:1.32
Thor Atkinson:3.2
Quinby Curtis:2.88
Angus Romero:3.15
Ioana Polman:2.69
Beverley Killerny:3.98
Viola Land:1.62
Liz Franke:3.74
John Marshall:4.05
Helle Hawkins:4.22
Brooke Riedel:1.77
Sarah Lambretta:1.92
Saskia Lins:3.22
Mette Hoferer:1.76
Friedrich Friederich:3.77
Isabel Glavin:2.62
Marian Marks:3.8
Vicki Blofeld:3.05
Ana Sof¡a Ramirez:1.77
Jordan Nitzsche:1.54
Debbie Nygaard:2.23
Matilda Tendy:1.42
Maureen Fitzsimmons:1.07
Christian Pruner:3.41
Dimitra Diktat:1.88
Conny Bevins:1.98
Heinrich Haney:1.35
Taniya Melodia:1.25
Anibal Thoma:1.1
Vikt¢ria Chumwit:1.82
Vaclev Keitel:4.06
Roger Admon:2.62
Angelika Rentner:1.28
J zmin Eckel:2.11
Terri Bukkens:2.09
Anohito Herz:3.63
Nur Wolffe:1.9
Wolfgang Parsons:1.46
Jim Sieber:3.96
Sean Passig:3
Alya Demmerle:4.29
Elisabeth Templeton:3.15
Connor Cibula:3.71
Gergana Barshaw:3.34
Jane Koop:4.3
Milly Putten:2.66
Vreni Duval:2.51
Tarana Claasens:2.03
Helga Lexington:1.79
Vanessa Ellenson:3.31
Erin Ceulmans:2.95
Megan Tyler:2.04
